HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
760244,E4,N-,,,,,
761106,E4,,,,N-,,
764213,E1,P+,P+,,P+,,
764319,E1,,P+,,,,
767216,E6,N-,,,,,
768014,E5,,P+,,,,
768978,E3,,P+,,P+,,
769285,E3,P+,P+,,,,
769867,E1,P+,P+,,P+,,
771069,E5,,P+,,,,
772591,E1,P+,P+,,P+,,
773455,E5,,P+,,,,
776036,E4,N-,,,,,
777145,E3,,P+,,,,
781341,E4,N-,,,,,
783486,E3,P+,P+,,,,
786698,E3,P+,P+,,,,
786712,E3,P+,P+,,,,
788666,E3,,P+,,,,
791246,E4,N-,,,,,
792085,E5,,P+,,,,
793685,E3,P+,P+,,,,
794657,E1,P+,P+,,P+,,
798492,E1,P+,P+,,,,
800303,E1,P+,P+,,P+,,
805451,E5,,P+,,,,
807182,E3,,P+,,,,
809596,E3,P+,P+,,P+,,
810143,E1,P+,P+,,,,
811994,E4,N-,,,,,
812884,E4,N-,,,,,
813631,E4,N-,,,,,
816989,E6,N-,,,,,
817433,E1,P+,P+,,P+,,
818212,E5,,P+,,,,
820792,E3,,P+,,,,
822273,E1,P+,P+,,,,
823281,E1,P+,P+,,P+,,
823573,E5,,P+,,,,
824818,E1,P+,P+,,P+,,
831960,E1,P+,P+,,,,
835540,E6,N-,,,N-,,
835948,E5,,P+,,,,
840633,E3,,P+,,P+,,
840719,E1,P+,P+,,,,
841711,E1,P+,P+,,,,
842071,E3,,P+,,,,
842743,E5,,P+,,,,
843396,E4,N-,,,,,
844170,E1,P+,P+,,P+,,
844975,E3,P+,P+,,,,
845767,E5,,,,,P+,
846294,E1,,P+,,,,
847240,E3,,P+,,,,
847545,E1,P+,P+,,P+,,
847816,E6,,,N-,,,
848357,E3,,P+,,,,
848839,E5,,P+,,,,
853281,E3,P+,P+,,,,
853787,E4,N-,,,,,
854242,E4,,,,N-,,
855489,E1,P+,P+,,,,
855729,E3,,P+,,,,
855957,E5,,P+,,,,
856795,E1,P+,P+,,,,
857281,E6,,,N-,,,
857411,E4,N-,,,,,
857528,E1,,P+,,P+,,
857978,E3,P+,P+,,P+,,
858939,E1,P+,P+,,,,
859196,E3,P+,P+,,P+,,
860036,E6,N-,,,,,
861665,E1,,P+,,,,
862276,E4,N-,,,,,
863731,E3,,P+,,,,
865219,E2,,,,,N-,
865473,E4,N-,,,,,
869500,E5,,P+,P+,,,
870344,E6,N-,,,,,
872053,E1,P+,P+,,P+,,
873263,E6,,,N-,,,No Change
874066,E6,,,N-,,,No Change
